00Z 29 10 2017, 6.95, 21.69
12Z 29 10 2017, 17.17, 22.23
00Z 30 10 2017, 0.00, 11.69
12Z 30 10 2017, 3.16, 17.43
00Z 31 10 2017, 0.00, 22.18
12Z 31 10 2017, 0.00, 20.32
00Z 01 11 2017, 0.00, 17.19
12Z 01 11 2017, 0.00, 12.86
00Z 02 11 2017, 0.00, 14.88
12Z 02 11 2017, 0.00, 18.04
00Z 03 11 2017, 0.00, 23.36
12Z 03 11 2017, 0.00, 24.06
00Z 04 11 2017, 6.35, 24.93
12Z 04 11 2017, 23.88, 10.55
00Z 05 11 2017, 6.50, 9.34
12Z 05 11 2017, 97.04, 10.69
00Z 06 11 2017, 4.79, 13.44
12Z 06 11 2017, 3.16, 16.88
00Z 07 11 2017, 47.31, 15.27
12Z 07 11 2017, 0.00, 12.46
00Z 08 11 2017, 0.02, 10.39
12Z 08 11 2017, 0.00, 7.82
00Z 09 11 2017, 0.00, 26.07
12Z 09 11 2017, 9.66, 19.05
00Z 10 11 2017, 0.20, 19.90
12Z 10 11 2017, 0.77, 19.28
00Z 11 11 2017, 0.00, 27.83
12Z 11 11 2017, 0.98, 28.81
00Z 12 11 2017, 0.36, 24.46
12Z 12 11 2017, 9.71, 9.74
00Z 13 11 2017, 49.99, 10.93
12Z 13 11 2017, 0.11, 16.78
00Z 14 11 2017, 0.47, 15.58
12Z 14 11 2017, 6.90, 11.59
00Z 15 11 2017, 0.00, 17.41
12Z 15 11 2017, 0.00, 19.15
00Z 16 11 2017, 7.66, 19.79
12Z 16 11 2017, 0.04, 17.02
00Z 17 11 2017, 0.00, 7.04
12Z 17 11 2017, 0.00, 7.10
00Z 18 11 2017, 0.00, 17.29
12Z 18 11 2017, 0.00, 19.95
00Z 19 11 2017, 35.13, 21.58
12Z 19 11 2017, 4.90, 21.98
00Z 20 11 2017, 5.03, 16.76
12Z 20 11 2017, 0.00, 19.89
00Z 21 11 2017, 0.00, 13.81
12Z 21 11 2017, 31.02, 16.94
00Z 22 11 2017, 4.43, 18.30
12Z 22 11 2017, 24.08, 25.60
00Z 23 11 2017, 34.36, 21.92
12Z 23 11 2017, 1.40, 11.84
00Z 24 11 2017, 20.31, 12.93
12Z 24 11 2017, 0.00, 12.70
00Z 25 11 2017, 2.89, 9.25
12Z 25 11 2017, 110.65, 9.05
00Z 26 11 2017, 2.67, 7.63
12Z 26 11 2017, 2.51, 16.17
00Z 27 11 2017, 0.00, 14.91
12Z 27 11 2017, 2.10, 20.99
00Z 28 11 2017, 15.79, 10.96
12Z 28 11 2017, 32.79, 8.25
00Z 29 11 2017, 252.33, 10.70
12Z 29 11 2017, 32.24, 10.57
00Z 30 11 2017, 5.42, 9.48
12Z 30 11 2017, 34.24, 9.07
00Z 01 12 2017, 5.47, 8.54
12Z 01 12 2017, 3.48, 8.17
